"REF_DATE","GEO","DGUID","Type of structure","Type of unit","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018","Toronto, Ontario","2011S0503535","Row and apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3822835","125.3.1","1081","","","","0"
"2019","Toronto, Ontario","2011S0503535","Row and apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3822835","125.3.1","1142","","","","0"
"2020","Toronto, Ontario","2011S0503535","Row and apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3822835","125.3.1","1204","","","","0"
"2021","Toronto, Ontario","2011S0503535","Row and apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3822835","125.3.1","1217","","","","0"
"2022","Toronto, Ontario","2011S0503535","Row and apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3822835","125.3.1","1305","","","","0"
"2023","Toronto, Ontario","2011S0503535","Row and apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3822835","125.3.1","1414","","","","0"
"2024","Toronto, Ontario","2011S0503535","Row and apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3822835","125.3.1","1448","","","","0"
"2018","Toronto, Ontario","2011S0503535","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3822969","125.3.2","1261","","","","0"
"2019","Toronto, Ontario","2011S0503535","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3822969","125.3.2","1361","","","","0"
"2020","Toronto, Ontario","2011S0503535","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3822969","125.3.2","1421","","","","0"
"2021","Toronto, Ontario","2011S0503535","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3822969","125.3.2","1439","","","","0"
"2022","Toronto, Ontario","2011S0503535","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3822969","125.3.2","1526","","","","0"
"2023","Toronto, Ontario","2011S0503535","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3822969","125.3.2","1691","","","","0"
"2024","Toronto, Ontario","2011S0503535","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3822969","125.3.2","1715","","","","0"
"2018","Toronto, Ontario","2011S0503535","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823103","125.3.3","1468","","","","0"
"2019","Toronto, Ontario","2011S0503535","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823103","125.3.3","1563","","","","0"
"2020","Toronto, Ontario","2011S0503535","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823103","125.3.3","1637","","","","0"
"2021","Toronto, Ontario","2011S0503535","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823103","125.3.3","1680","","","","0"
"2022","Toronto, Ontario","2011S0503535","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823103","125.3.3","1779","","","","0"
"2023","Toronto, Ontario","2011S0503535","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823103","125.3.3","1958","","","","0"
"2024","Toronto, Ontario","2011S0503535","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823103","125.3.3","1972","","","","0"
"2018","Toronto, Ontario","2011S0503535","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823237","125.3.4","1647","","","","0"
"2019","Toronto, Ontario","2011S0503535","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823237","125.3.4","1730","","","","0"
"2020","Toronto, Ontario","2011S0503535","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823237","125.3.4","1854","","","","0"
"2021","Toronto, Ontario","2011S0503535","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823237","125.3.4","1918","","","","0"
"2022","Toronto, Ontario","2011S0503535","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823237","125.3.4","2015","","","","0"
"2023","Toronto, Ontario","2011S0503535","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823237","125.3.4","2168","","","","0"
"2024","Toronto, Ontario","2011S0503535","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823237","125.3.4","2185","","","","0"
"2018","Toronto, Ontario","2011S0503535","Row structures of three units and over","Bachelor units","Dollars","81","units","0","v3823371","125.2.1","","F","","","0"
"2019","Toronto, Ontario","2011S0503535","Row structures of three units and over","Bachelor units","Dollars","81","units","0","v3823371","125.2.1","","F","","","0"
"2020","Toronto, Ontario","2011S0503535","Row structures of three units and over","Bachelor units","Dollars","81","units","0","v3823371","125.2.1","","F","","","0"
"2021","Toronto, Ontario","2011S0503535","Row structures of three units and over","Bachelor units","Dollars","81","units","0","v3823371","125.2.1","","F","","","0"
"2022","Toronto, Ontario","2011S0503535","Row structures of three units and over","Bachelor units","Dollars","81","units","0","v3823371","125.2.1","","F","","","0"
"2023","Toronto, Ontario","2011S0503535","Row structures of three units and over","Bachelor units","Dollars","81","units","0","v3823371","125.2.1","","F","","","0"
"2024","Toronto, Ontario","2011S0503535","Row structures of three units and over","Bachelor units","Dollars","81","units","0","v3823371","125.2.1","","F","","","0"
"2018","Toronto, Ontario","2011S0503535","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v3823505","125.2.2","","F","","","0"
"2019","Toronto, Ontario","2011S0503535","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v3823505","125.2.2","1503","","","","0"
"2020","Toronto, Ontario","2011S0503535","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v3823505","125.2.2","1597","","","","0"
"2021","Toronto, Ontario","2011S0503535","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v3823505","125.2.2","1806","","","","0"
"2022","Toronto, Ontario","2011S0503535","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v3823505","125.2.2","1495","","","","0"
"2023","Toronto, Ontario","2011S0503535","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v3823505","125.2.2","1885","","","","0"
"2024","Toronto, Ontario","2011S0503535","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v3823505","125.2.2","","F","","","0"
"2018","Toronto, Ontario","2011S0503535","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823639","125.2.3","1513","","","","0"
"2019","Toronto, Ontario","2011S0503535","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823639","125.2.3","1613","","","","0"
"2020","Toronto, Ontario","2011S0503535","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823639","125.2.3","1835","","","","0"
"2021","Toronto, Ontario","2011S0503535","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823639","125.2.3","1835","","","","0"
"2022","Toronto, Ontario","2011S0503535","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823639","125.2.3","1748","","","","0"
"2023","Toronto, Ontario","2011S0503535","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823639","125.2.3","1722","","","","0"
"2024","Toronto, Ontario","2011S0503535","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823639","125.2.3","1755","","","","0"
"2018","Toronto, Ontario","2011S0503535","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823773","125.2.4","1703","","","","0"
"2019","Toronto, Ontario","2011S0503535","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823773","125.2.4","1719","","","","0"
"2020","Toronto, Ontario","2011S0503535","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823773","125.2.4","1883","","","","0"
"2021","Toronto, Ontario","2011S0503535","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823773","125.2.4","1966","","","","0"
"2022","Toronto, Ontario","2011S0503535","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823773","125.2.4","1908","","","","0"
"2023","Toronto, Ontario","2011S0503535","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823773","125.2.4","2061","","","","0"
"2024","Toronto, Ontario","2011S0503535","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823773","125.2.4","1990","","","","0"
"2018","Toronto, Ontario","2011S0503535","Apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3823907","125.1.1","1080","","","","0"
"2019","Toronto, Ontario","2011S0503535","Apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3823907","125.1.1","1141","","","","0"
