"REF_DATE","GEO","DGUID","Impact of extreme weather events and natural disasters","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2023","Toronto, Ontario","2016S0503535","Had been affected by an extreme weather event or natural disaster in the past 12 months","Percent","239","units","0","v1675437696","28.1","15","","","","0"
"2023","Toronto, Ontario","2016S0503535","Had been affected by an extreme weather event or natural disaster in the past 12 months at their primary residence","Percent","239","units","0","v1675437697","28.2","92","","","","0"
"2023","Toronto, Ontario","2016S0503535","Had been affected by an extreme weather event or natural disaster in the past 12 months at their secondary residence","Percent","239","units","0","v1675437698","28.3","","F","","","0"
"2023","Toronto, Ontario","2016S0503535","Had been affected by an extreme weather event or natural disaster in the past 12 months at both their primary and secondary residences","Percent","239","units","0","v1675437699","28.4","","F","","","0"
"2023","Toronto, Ontario","2016S0503535","Had been affected by an extreme weather event or natural disaster in the past 12 months elsewhere in Canada","Percent","239","units","0","v1675437700","28.5","","F","","","0"
"2023","Toronto, Ontario","2016S0503535","Had been affected by an extreme weather event or natural disaster in the past 12 months somewhere outside of Canada","Percent","239","units","0","v1675437701","28.6","","F","","","0"
"2023","Toronto, Ontario","2016S0503535","Nature of the event: Heavy rain","Percent","239","units","0","v1675437702","28.7","61","","","","0"
"2023","Toronto, Ontario","2016S0503535","Nature of the event: River flooding","Percent","239","units","0","v1675437703","28.8","","F","","","0"
"2023","Toronto, Ontario","2016S0503535","Nature of the event: A storm","Percent","239","units","0","v1675437704","28.9","26","","","","0"
"2023","Toronto, Ontario","2016S0503535","Nature of the event: Strong winds","Percent","239","units","0","v1675437705","28.10","42","","","","0"
"2023","Toronto, Ontario","2016S0503535","Nature of the event: A winter storm, blizzard, or ice storm","Percent","239","units","0","v1675437706","28.11","23","","","","0"
"2023","Toronto, Ontario","2016S0503535","Nature of the event: Extreme cold","Percent","239","units","0","v1675437707","28.12","18","","","","0"
"2023","Toronto, Ontario","2016S0503535","Nature of the event: Extreme heat","Percent","239","units","0","v1675437708","28.13","35","","","","0"
"2023","Toronto, Ontario","2016S0503535","Nature of the event: A hurricane","Percent","239","units","0","v1675437709","28.14","","F","","","0"
"2023","Toronto, Ontario","2016S0503535","Nature of the event: A tornado","Percent","239","units","0","v1675437710","28.15","","F","","","0"
"2023","Toronto, Ontario","2016S0503535","Nature of the event: Poor air quality, such as smoke or smog","Percent","239","units","0","v1675437711","28.16","57","","","","0"
"2023","Toronto, Ontario","2016S0503535","Nature of the event: A forest fire, wildfire, or grass fire","Percent","239","units","0","v1675437712","28.17","","F","","","0"
"2023","Toronto, Ontario","2016S0503535","Nature of the event: A landslide, avalanche, or sinkhole","Percent","239","units","0","v1675437713","28.18","","F","","","0"
"2023","Toronto, Ontario","2016S0503535","Nature of the event: An earthquake","Percent","239","units","0","v1675437714","28.19","","F","","","0"
"2023","Toronto, Ontario","2016S0503535","Nature of the event: Another type of event","Percent","239","units","0","v1675437715","28.20","","F","","","0"
"2023","Toronto, Ontario","2016S0503535","Impacted by the event","Percent","239","units","0","v1675437716","28.21","99","","","","0"
"2023","Toronto, Ontario","2016S0503535","Impact of the event: Lost power for a short period of time (less than 24 hours)","Percent","239","units","0","v1675437717","28.22","49","","","","0"
"2023","Toronto, Ontario","2016S0503535","Impact of the event: Lost power for a longer period of time (one day or longer)","Percent","239","units","0","v1675437718","28.23","","F","","","0"
"2023","Toronto, Ontario","2016S0503535","Impact of the event: Had to throw out food","Percent","239","units","0","v1675437719","28.24","10","E","","","0"
"2023","Toronto, Ontario","2016S0503535","Impact of the event: Water damage","Percent","239","units","0","v1675437720","28.25","22","","","","0"
"2023","Toronto, Ontario","2016S0503535","Impact of the event: Some damage to house","Percent","239","units","0","v1675437721","28.26","14","","","","0"
"2023","Toronto, Ontario","2016S0503535","Impact of the event: Complete loss of house","Percent","239","units","0","v1675437722","28.27","","F","","","0"
"2023","Toronto, Ontario","2016S0503535","Impact of the event: Poor air quality","Percent","239","units","0","v1675437723","28.28","54","","","","0"
"2023","Toronto, Ontario","2016S0503535","Impact of the event: Road closures","Percent","239","units","0","v1675437724","28.29","12","","","","0"
"2023","Toronto, Ontario","2016S0503535","Impact of the event: Interruption to drinking water","Percent","239","units","0","v1675437725","28.30","","F","","","0"
"2023","Toronto, Ontario","2016S0503535","Impact of the event: Property flooded","Percent","239","units","0","v1675437726","28.31","","F","","","0"
"2023","Toronto, Ontario","2016S0503535","Impact of the event: Damage to family vehicles","Percent","239","units","0","v1675437727","28.32","","F","","","0"
"2023","Toronto, Ontario","2016S0503535","Impact of the event: Household member injured or killed","Percent","239","units","0","v1675437728","28.33","","F","","","0"
"2023","Toronto, Ontario","2016S0503535","Impact of the event: Other","Percent","239","units","0","v1675437729","28.34","","F","","","0"
"2023","Toronto, Ontario","2016S0503535","Not impacted by the event","Percent","239","units","0","v1675437730","28.35","","F","","","0"
"2023","Toronto, Ontario","2016S0503535","Time to recover from the event: Same day","Percent","239","units","0","v1675437731","28.36","36","","","","0"
"2023","Toronto, Ontario","2016S0503535","Time to recover from the event: Days","Percent","239","units","0","v1675437732","28.37","46","","","","0"
"2023","Toronto, Ontario","2016S0503535","Time to recover from the event: Weeks","Percent","239","units","0","v1675437733","28.38","9","E","","","0"
"2023","Toronto, Ontario","2016S0503535","Time to recover from the event: Months","Percent","239","units","0","v1675437734","28.39","","F","","","0"
