"REF_DATE","GEO","DGUID","Tenure including social and affordable housing","Housing suitability and dwelling condition","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018","Canada (provinces only)","2021A000011124","Total, tenure","Total, housing suitability","Number of households","Number","223","units","0","v1594709342","1.1.1.1","14626500","","","","0"
"2021","Canada (provinces only)","2021A000011124","Total, tenure","Total, housing suitability","Number of households","Number","223","units","0","v1594709342","1.1.1.1","15067800","","","","0"
"2022","Canada (provinces only)","2021A000011124","Total, tenure","Total, housing suitability","Number of households","Number","223","units","0","v1594709342","1.1.1.1","15454900","","","","0"
"2018","Canada (provinces only)","2021A000011124","Total, tenure","Total, housing suitability","Percentage of households","Percent","239","units","0","v1594709363","1.1.1.4","100.0","","","","1"
"2021","Canada (provinces only)","2021A000011124","Total, tenure","Total, housing suitability","Percentage of households","Percent","239","units","0","v1594709363","1.1.1.4","100.0","","","","1"
"2022","Canada (provinces only)","2021A000011124","Total, tenure","Total, housing suitability","Percentage of households","Percent","239","units","0","v1594709363","1.1.1.4","100.0","","","","1"
"2018","Canada (provinces only)","2021A000011124","Total, tenure","Suitable","Number of households","Number","223","units","0","v1594709343","1.1.2.1","13910400","","","","0"
"2021","Canada (provinces only)","2021A000011124","Total, tenure","Suitable","Number of households","Number","223","units","0","v1594709343","1.1.2.1","14340500","","","","0"
"2022","Canada (provinces only)","2021A000011124","Total, tenure","Suitable","Number of households","Number","223","units","0","v1594709343","1.1.2.1","14668900","","","","0"
"2018","Canada (provinces only)","2021A000011124","Total, tenure","Suitable","Percentage of households","Percent","239","units","0","v1594709364","1.1.2.4","95.1","","","","1"
"2021","Canada (provinces only)","2021A000011124","Total, tenure","Suitable","Percentage of households","Percent","239","units","0","v1594709364","1.1.2.4","95.2","","","","1"
"2022","Canada (provinces only)","2021A000011124","Total, tenure","Suitable","Percentage of households","Percent","239","units","0","v1594709364","1.1.2.4","94.9","","","","1"
"2018","Canada (provinces only)","2021A000011124","Total, tenure","Not suitable","Number of households","Number","223","units","0","v1594709344","1.1.3.1","716100","","","","0"
"2021","Canada (provinces only)","2021A000011124","Total, tenure","Not suitable","Number of households","Number","223","units","0","v1594709344","1.1.3.1","727300","","","","0"
"2022","Canada (provinces only)","2021A000011124","Total, tenure","Not suitable","Number of households","Number","223","units","0","v1594709344","1.1.3.1","786200","","","","0"
"2018","Canada (provinces only)","2021A000011124","Total, tenure","Not suitable","Percentage of households","Percent","239","units","0","v1594709365","1.1.3.4","4.9","","","","1"
"2021","Canada (provinces only)","2021A000011124","Total, tenure","Not suitable","Percentage of households","Percent","239","units","0","v1594709365","1.1.3.4","4.8","","","","1"
"2022","Canada (provinces only)","2021A000011124","Total, tenure","Not suitable","Percentage of households","Percent","239","units","0","v1594709365","1.1.3.4","5.1","","","","1"
"2018","Canada (provinces only)","2021A000011124","Total, tenure","Total, dwelling condition","Number of households","Number","223","units","0","v1594709345","1.1.4.1","14626500","","","","0"
"2021","Canada (provinces only)","2021A000011124","Total, tenure","Total, dwelling condition","Number of households","Number","223","units","0","v1594709345","1.1.4.1","15067700","","","","0"
"2022","Canada (provinces only)","2021A000011124","Total, tenure","Total, dwelling condition","Number of households","Number","223","units","0","v1594709345","1.1.4.1","15455000","","","","0"
"2018","Canada (provinces only)","2021A000011124","Total, tenure","Total, dwelling condition","Percentage of households","Percent","239","units","0","v1594709366","1.1.4.4","100.0","","","","1"
"2021","Canada (provinces only)","2021A000011124","Total, tenure","Total, dwelling condition","Percentage of households","Percent","239","units","0","v1594709366","1.1.4.4","100.0","","","","1"
"2022","Canada (provinces only)","2021A000011124","Total, tenure","Total, dwelling condition","Percentage of households","Percent","239","units","0","v1594709366","1.1.4.4","100.0","","","","1"
"2018","Canada (provinces only)","2021A000011124","Total, tenure","Regular maintenance needed","Number of households","Number","223","units","0","v1594709346","1.1.5.1","10313600","","","","0"
"2021","Canada (provinces only)","2021A000011124","Total, tenure","Regular maintenance needed","Number of households","Number","223","units","0","v1594709346","1.1.5.1","10454500","","","","0"
"2022","Canada (provinces only)","2021A000011124","Total, tenure","Regular maintenance needed","Number of households","Number","223","units","0","v1594709346","1.1.5.1","10673400","","","","0"
"2018","Canada (provinces only)","2021A000011124","Total, tenure","Regular maintenance needed","Percentage of households","Percent","239","units","0","v1594709367","1.1.5.4","71.0","","","","1"
