city,Type of unit,year,month,VALUE
Toronto,Bachelor units,2018,1,1081.0
Toronto,Bachelor units,2018,1,1217.0
Toronto,Bachelor units,2018,1,1080.0
Toronto,Bachelor units,2018,1,1083.0
Toronto,Bachelor units,2018,2,1081.0
Toronto,Bachelor units,2018,2,1217.0
Toronto,Bachelor units,2018,2,1080.0
Toronto,Bachelor units,2018,2,1083.0
Toronto,Bachelor units,2018,3,1081.0
Toronto,Bachelor units,2018,3,1217.0
Toronto,Bachelor units,2018,3,1080.0
Toronto,Bachelor units,2018,3,1083.0
Toronto,Bachelor units,2018,4,1081.0
Toronto,Bachelor units,2018,4,1217.0
Toronto,Bachelor units,2018,4,1080.0
Toronto,Bachelor units,2018,4,1083.0
Toronto,Bachelor units,2018,5,1081.0
Toronto,Bachelor units,2018,5,1217.0
Toronto,Bachelor units,2018,5,1080.0
Toronto,Bachelor units,2018,5,1083.0
Toronto,Bachelor units,2018,6,1081.0
Toronto,Bachelor units,2018,6,1217.0
Toronto,Bachelor units,2018,6,1080.0
Toronto,Bachelor units,2018,6,1083.0
Toronto,Bachelor units,2018,7,1081.0
Toronto,Bachelor units,2018,7,1217.0
Toronto,Bachelor units,2018,7,1080.0
Toronto,Bachelor units,2018,7,1083.0
Toronto,Bachelor units,2018,8,1081.0
Toronto,Bachelor units,2018,8,1217.0
Toronto,Bachelor units,2018,8,1080.0
Toronto,Bachelor units,2018,8,1083.0
Toronto,Bachelor units,2018,9,1081.0
Toronto,Bachelor units,2018,9,1217.0
Toronto,Bachelor units,2018,9,1080.0
Toronto,Bachelor units,2018,9,1083.0
Toronto,Bachelor units,2018,10,1081.0
Toronto,Bachelor units,2018,10,1217.0
Toronto,Bachelor units,2018,10,1080.0
Toronto,Bachelor units,2018,10,1083.0
Toronto,Bachelor units,2018,11,1081.0
Toronto,Bachelor units,2018,11,1217.0
Toronto,Bachelor units,2018,11,1080.0
Toronto,Bachelor units,2018,11,1083.0
Toronto,Bachelor units,2018,12,1081.0
Toronto,Bachelor units,2018,12,1217.0
Toronto,Bachelor units,2018,12,1080.0
Toronto,Bachelor units,2018,12,1083.0
Toronto,Bachelor units,2019,1,1142.0
Toronto,Bachelor units,2019,1,1217.0
Toronto,Bachelor units,2019,1,1141.0
Toronto,Bachelor units,2019,1,1150.0
Toronto,Bachelor units,2019,2,1142.0
Toronto,Bachelor units,2019,2,1217.0
Toronto,Bachelor units,2019,2,1141.0
Toronto,Bachelor units,2019,2,1150.0
Toronto,Bachelor units,2019,3,1142.0
Toronto,Bachelor units,2019,3,1217.0
Toronto,Bachelor units,2019,3,1141.0
Toronto,Bachelor units,2019,3,1150.0
Toronto,Bachelor units,2019,4,1142.0
Toronto,Bachelor units,2019,4,1217.0
Toronto,Bachelor units,2019,4,1141.0
Toronto,Bachelor units,2019,4,1150.0
Toronto,Bachelor units,2019,5,1142.0
Toronto,Bachelor units,2019,5,1217.0
Toronto,Bachelor units,2019,5,1141.0
Toronto,Bachelor units,2019,5,1150.0
Toronto,Bachelor units,2019,6,1142.0
Toronto,Bachelor units,2019,6,1217.0
Toronto,Bachelor units,2019,6,1141.0
Toronto,Bachelor units,2019,6,1150.0
Toronto,Bachelor units,2019,7,1142.0
Toronto,Bachelor units,2019,7,1217.0
Toronto,Bachelor units,2019,7,1141.0
Toronto,Bachelor units,2019,7,1150.0
Toronto,Bachelor units,2019,8,1142.0
Toronto,Bachelor units,2019,8,1217.0
Toronto,Bachelor units,2019,8,1141.0
Toronto,Bachelor units,2019,8,1150.0
Toronto,Bachelor units,2019,9,1142.0
Toronto,Bachelor units,2019,9,1217.0
Toronto,Bachelor units,2019,9,1141.0
Toronto,Bachelor units,2019,9,1150.0
Toronto,Bachelor units,2019,10,1142.0
Toronto,Bachelor units,2019,10,1217.0
Toronto,Bachelor units,2019,10,1141.0
Toronto,Bachelor units,2019,10,1150.0
Toronto,Bachelor units,2019,11,1142.0
Toronto,Bachelor units,2019,11,1217.0
Toronto,Bachelor units,2019,11,1141.0
Toronto,Bachelor units,2019,11,1150.0
Toronto,Bachelor units,2019,12,1142.0
Toronto,Bachelor units,2019,12,1217.0
Toronto,Bachelor units,2019,12,1141.0
Toronto,Bachelor units,2019,12,1150.0
Toronto,Bachelor units,2020,1,1204.0
Toronto,Bachelor units,2020,1,1217.0
Toronto,Bachelor units,2020,1,1204.0
Toronto,Bachelor units,2020,1,1206.0
Toronto,Bachelor units,2020,2,1204.0
Toronto,Bachelor units,2020,2,1217.0
Toronto,Bachelor units,2020,2,1204.0
Toronto,Bachelor units,2020,2,1206.0
Toronto,Bachelor units,2020,3,1204.0
Toronto,Bachelor units,2020,3,1217.0
Toronto,Bachelor units,2020,3,1204.0
Toronto,Bachelor units,2020,3,1206.0
Toronto,Bachelor units,2020,4,1204.0
Toronto,Bachelor units,2020,4,1217.0
Toronto,Bachelor units,2020,4,1204.0
Toronto,Bachelor units,2020,4,1206.0
Toronto,Bachelor units,2020,5,1204.0
Toronto,Bachelor units,2020,5,1217.0
Toronto,Bachelor units,2020,5,1204.0
Toronto,Bachelor units,2020,5,1206.0
Toronto,Bachelor units,2020,6,1204.0
Toronto,Bachelor units,2020,6,1217.0
Toronto,Bachelor units,2020,6,1204.0
Toronto,Bachelor units,2020,6,1206.0
Toronto,Bachelor units,2020,7,1204.0
Toronto,Bachelor units,2020,7,1217.0
Toronto,Bachelor units,2020,7,1204.0
Toronto,Bachelor units,2020,7,1206.0
Toronto,Bachelor units,2020,8,1204.0
Toronto,Bachelor units,2020,8,1217.0
Toronto,Bachelor units,2020,8,1204.0
Toronto,Bachelor units,2020,8,1206.0
Toronto,Bachelor units,2020,9,1204.0
Toronto,Bachelor units,2020,9,1217.0
Toronto,Bachelor units,2020,9,1204.0
Toronto,Bachelor units,2020,9,1206.0
Toronto,Bachelor units,2020,10,1204.0
Toronto,Bachelor units,2020,10,1217.0
Toronto,Bachelor units,2020,10,1204.0
Toronto,Bachelor units,2020,10,1206.0
Toronto,Bachelor units,2020,11,1204.0
Toronto,Bachelor units,2020,11,1217.0
Toronto,Bachelor units,2020,11,1204.0
Toronto,Bachelor units,2020,11,1206.0
Toronto,Bachelor units,2020,12,1204.0
Toronto,Bachelor units,2020,12,1217.0
Toronto,Bachelor units,2020,12,1204.0
Toronto,Bachelor units,2020,12,1206.0
Toronto,Bachelor units,2021,1,1217.0
Toronto,Bachelor units,2021,1,1217.0
Toronto,Bachelor units,2021,1,1217.0
Toronto,Bachelor units,2021,1,1217.0
Toronto,Bachelor units,2021,2,1217.0
Toronto,Bachelor units,2021,2,1217.0
Toronto,Bachelor units,2021,2,1217.0
Toronto,Bachelor units,2021,2,1217.0
Toronto,Bachelor units,2021,3,1217.0
Toronto,Bachelor units,2021,3,1217.0
Toronto,Bachelor units,2021,3,1217.0
Toronto,Bachelor units,2021,3,1217.0
Toronto,Bachelor units,2021,4,1217.0
Toronto,Bachelor units,2021,4,1217.0
Toronto,Bachelor units,2021,4,1217.0
Toronto,Bachelor units,2021,4,1217.0
Toronto,Bachelor units,2021,5,1217.0
Toronto,Bachelor units,2021,5,1217.0
Toronto,Bachelor units,2021,5,1217.0
