Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-114.01,51.12,CALGARY INTL A,3031092,01/01/2025,2025,1,1,,-11.4,,-15.7,,-13.6,,31.6,,0,,0,,1.8,,1.8,,6,,,M,,M
-114.01,51.12,CALGARY INTL A,3031092,02/01/2025,2025,1,2,,-14.6,,-21.2,,-17.9,,35.9,,0,,0,,0.4,,0.4,,7,,,M,,M
-114.01,51.12,CALGARY INTL A,3031092,03/01/2025,2025,1,3,,-14.3,,-17.9,,-16.1,,34.1,,0,,0,,0,T,0,T,6,,16,,43,
-114.01,51.12,CALGARY INTL A,3031092,04/01/2025,2025,1,4,,-13.5,,-17.3,,-15.4,,33.4,,0,,0,,0,T,0,T,6,,16,,33,
-114.01,51.12,CALGARY INTL A,3031092,05/01/2025,2025,1,5,,-11,,-18.7,,-14.9,,32.9,,0,,0,,0,,0,,6,,,M,,M
-114.01,51.12,CALGARY INTL A,3031092,06/01/2025,2025,1,6,,0.9,,-14.7,,-6.9,,24.9,,0,,0,,0,,0,,6,,,M,,M
-114.01,51.12,CALGARY INTL A,3031092,07/01/2025,2025,1,7,,9.3,,-10.1,,-0.4,,18.4,,0,,0,,0,,0,,5,,27,,64,
-114.01,51.12,CALGARY INTL A,3031092,08/01/2025,2025,1,8,,9.4,,0,,4.7,,13.3,,0,,0,,0,,0,,1,,28,,78,
-114.01,51.12,CALGARY INTL A,3031092,09/01/2025,2025,1,9,,2.5,,-7.6,,-2.6,,20.6,,0,,0,,0,,0,,0,T,,M,,M
-114.01,51.12,CALGARY INTL A,3031092,10/01/2025,2025,1,10,,10.2,,-2.9,,3.7,,14.3,,0,,0,,0,T,0,T,0,T,28,,71,
-114.01,51.12,CALGARY INTL A,3031092,11/01/2025,2025,1,11,,3.7,,-0.4,,1.7,,16.3,,0,,0,,0,T,0,T,0,T,33,,64,
-114.01,51.12,CALGARY INTL A,3031092,12/01/2025,2025,1,12,,2.6,,-7,,-2.2,,20.2,,0,,0,,0,T,0,T,0,T,33,,32,
-114.01,51.12,CALGARY INTL A,3031092,13/01/2025,2025,1,13,,8.1,,-6.6,,0.8,,17.2,,0,,0,,0,,0,,0,T,34,,41,
-114.01,51.12,CALGARY INTL A,3031092,14/01/2025,2025,1,14,,10.4,,-6.8,,1.8,,16.2,,0,,0,,0,,0,,0,T,28,,69,
-114.01,51.12,CALGARY INTL A,3031092,15/01/2025,2025,1,15,,9.5,,-0.3,,4.6,,13.4,,0,,0,,0,,0,,,,28,,41,
-114.01,51.12,CALGARY INTL A,3031092,16/01/2025,2025,1,16,,10.7,,-5,,2.9,,15.1,,0,,0,,0.8,,0.8,,1,E,32,,85,
-114.01,51.12,CALGARY INTL A,3031092,17/01/2025,2025,1,17,,-5,,-10.9,,-8,,26,,0,,0,,1.8,,1.6,,1,,35,,89,
-114.01,51.12,CALGARY INTL A,3031092,18/01/2025,2025,1,18,,-10.4,,-19.4,,-14.9,,32.9,,0,,0,,0,T,0,T,1,,2,,63,
-114.01,51.12,CALGARY INTL A,3031092,19/01/2025,2025,1,19,,-12.2,,-17.8,,-15,,33,,0,,0,,0.4,,0.4,,2,,35,,35,
-114.01,51.12,CALGARY INTL A,3031092,20/01/2025,2025,1,20,,2.2,,-20.2,,-9,,27,,0,,0,,0,,0,,2,,28,,46,
-114.01,51.12,CALGARY INTL A,3031092,21/01/2025,2025,1,21,,2.6,,-3.3,,-0.4,,18.4,,0,,0,,0,T,0,T,1,,29,,65,
-114.01,51.12,CALGARY INTL A,3031092,22/01/2025,2025,1,22,,1.7,,-5.8,,-2.1,,20.1,,0,,0,,0,T,0,T,1,,32,,58,
-114.01,51.12,CALGARY INTL A,3031092,23/01/2025,2025,1,23,,6.5,,-9.1,,-1.3,,19.3,,0,,0,,0,T,0,T,0,T,27,,59,
-114.01,51.12,CALGARY INTL A,3031092,24/01/2025,2025,1,24,,-0.4,,-6,,-3.2,,21.2,,0,,0,,0,T,0,T,1,,34,,74,
-114.01,51.12,CALGARY INTL A,3031092,25/01/2025,2025,1,25,,1.7,,-8.9,,-3.6,,21.6,,0,,0,,0,,0,,0,T,,M,,M
-114.01,51.12,CALGARY INTL A,3031092,26/01/2025,2025,1,26,,8,,-7.6,,0.2,,17.8,,0,,0,,0,,0,,0,T,,M,,M
-114.01,51.12,CALGARY INTL A,3031092,27/01/2025,2025,1,27,,10.4,,-5,,2.7,,15.3,,0,,0,,0,,0,,0,T,28,,40,
-114.01,51.12,CALGARY INTL A,3031092,28/01/2025,2025,1,28,,10.2,,-2.9,,3.7,,14.3,,0,,0,,0,,0,,,,28,,43,
-114.01,51.12,CALGARY INTL A,3031092,29/01/2025,2025,1,29,,12.8,,-2.9,,5,,13,,0,,0,,0,,0,,,,27,,53,
-114.01,51.12,CALGARY INTL A,3031092,30/01/2025,2025,1,30,,6.7,,-6,,0.4,,17.6,,0,,0,,0,,0,,,,28,,52,
-114.01,51.12,CALGARY INTL A,3031092,31/01/2025,2025,1,31,,-5.8,,-9.3,,-7.6,,25.6,,0,,0,,0,T,0,T,0,T,15,,32,
-114.01,51.12,CALGARY INTL A,3031092,01/02/2025,2025,2,1,,,M,,M,,M,,M,,M,0,,5.4,,5.4,,0,T,35,,47,
-114.01,51.12,CALGARY INTL A,3031092,02/02/2025,2025,2,2,,-21.7,,-25.8,,-23.8,,41.8,,0,,0,,0.6,,0.6,,4,,35,,37,
-114.01,51.12,CALGARY INTL A,3031092,03/02/2025,2025,2,3,,-21.4,,-28,,-24.7,,42.7,,0,,0,,0.6,,0.6,,4,,,M,,M
-114.01,51.12,CALGARY INTL A,3031092,04/02/2025,2025,2,4,,-20.1,,-25.6,,-22.9,,40.9,,0,,0,,2.2,,2.2,,4,,,M,,M
-114.01,51.12,CALGARY INTL A,3031092,05/02/2025,2025,2,5,,-19.7,,-24.8,,-22.3,,40.3,,0,,0,,3.4,,3.4,,5,,,M,,M
-114.01,51.12,CALGARY INTL A,3031092,06/02/2025,2025,2,6,,-9.2,,-26.1,,-17.7,,35.7,,0,,0,,0,,0,,8,,31,,41,
-114.01,51.12,CALGARY INTL A,3031092,07/02/2025,2025,2,7,,-12.4,,-23.2,,-17.8,,35.8,,0,,0,,0,T,0,T,7,,16,,37,
-114.01,51.12,CALGARY INTL A,3031092,08/02/2025,2025,2,8,,-8.3,,-17,,-12.7,,30.7,,0,,0,,0,T,0,T,7,,34,,32,
-114.01,51.12,CALGARY INTL A,3031092,09/02/2025,2025,2,9,,-11.1,,-21.6,,-16.4,,34.4,,0,,0,,0,T,0,T,7,,5,,51,
-114.01,51.12,CALGARY INTL A,3031092,10/02/2025,2025,2,10,,-14.5,,-26.7,,-20.6,,38.6,,0,,0,,0,T,0,T,7,,2,,37,
-114.01,51.12,CALGARY INTL A,3031092,11/02/2025,2025,2,11,,-12.1,,-21.2,,-16.7,,34.7,,0,,0,,0.4,,0.4,,6,,35,,42,
-114.01,51.12,CALGARY INTL A,3031092,12/02/2025,2025,2,12,,-7.3,,-18.9,,-13.1,,31.1,,0,,0,,0,T,0,T,6,,,M,,M
-114.01,51.12,CALGARY INTL A,3031092,13/02/2025,2025,2,13,,-11.3,,-17.7,,-14.5,,32.5,,0,,0,,0.6,,0.6,,6,,10,,39,
-114.01,51.12,CALGARY INTL A,3031092,14/02/2025,2025,2,14,,-17.8,,-21,,-19.4,,37.4,,0,,0,,1.4,,1.4,,8,,,M,,M
