Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-123.18,49.19,VANCOUVER INTL A,1108395,01/01/2025,2025,1,1,,5.9,,0.7,,3.3,,14.7,,0,,0,T,0,,0,T,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,02/01/2025,2025,1,2,,4.5,,0.7,,2.6,,15.4,,0,,5,,0,,5,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,03/01/2025,2025,1,3,,5.5,,1.5,,3.5,,14.5,,0,,5.9,,0,,5.9,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,04/01/2025,2025,1,4,,7.4,,4.4,,5.9,,12.1,,0,,6.9,,0,,6.9,,,,9,,31,
-123.18,49.19,VANCOUVER INTL A,1108395,05/01/2025,2025,1,5,,8.2,,1.2,,4.7,,13.3,,0,,2.2,,0,,2.2,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,06/01/2025,2025,1,6,,6.2,,-0.6,,2.8,,15.2,,0,,0,,0,,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,07/01/2025,2025,1,7,,5.5,,2,,3.8,,14.2,,0,,1.3,,0,,1.3,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,08/01/2025,2025,1,8,,7.4,,0.2,,3.8,,14.2,,0,,0,T,0,,0,T,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,09/01/2025,2025,1,9,,8,,-0.2,,3.9,,14.1,,0,,0,,0,,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,10/01/2025,2025,1,10,,8.1,,6.2,,7.2,,10.8,,0,,8.6,,0,,8.6,,,,25,,67,
-123.18,49.19,VANCOUVER INTL A,1108395,11/01/2025,2025,1,11,,7.6,,1,,4.3,,13.7,,0,,0,,0,,0,,,,28,,43,
-123.18,49.19,VANCOUVER INTL A,1108395,12/01/2025,2025,1,12,,7,,0.2,,3.6,,14.4,,0,,3.2,,0,,3.2,,,,29,,33,
-123.18,49.19,VANCOUVER INTL A,1108395,13/01/2025,2025,1,13,,5,,-1.6,,1.7,,16.3,,0,,0,,0,,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,14/01/2025,2025,1,14,,6.6,,0.3,,3.5,,14.5,,0,,0,,0,,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,15/01/2025,2025,1,15,,6.6,,-1.4,,2.6,,15.4,,0,,0,,0,,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,16/01/2025,2025,1,16,,7,,1.6,,4.3,,13.7,,0,,0.4,,0,,0.4,,,,26,,62,
-123.18,49.19,VANCOUVER INTL A,1108395,17/01/2025,2025,1,17,,6.2,,-2.3,,2,,16,,0,,0,,0,,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,18/01/2025,2025,1,18,,5,,-3.6,,0.7,,17.3,,0,,0,,0,,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,19/01/2025,2025,1,19,,5.5,,-3.8,,0.9,,17.1,,0,,0,,0,,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,20/01/2025,2025,1,20,,,M,,M,,M,,M,,M,0,,0,,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,21/01/2025,2025,1,21,,5.4,,-3.5,,1,,17,,0,,0,,0,,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,22/01/2025,2025,1,22,,4.6,,-1.4,,1.6,,16.4,,0,,0,,0,,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,23/01/2025,2025,1,23,,4.6,,-2.6,,1,,17,,0,,0,,0,,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,24/01/2025,2025,1,24,,6,,-4.2,,0.9,,17.1,,0,,0,,0,,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,25/01/2025,2025,1,25,,5.8,,-5.1,,0.4,,17.6,,0,,0,,0,,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,26/01/2025,2025,1,26,,5.6,,-3.7,,1,,17,,0,,0,,0,,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,27/01/2025,2025,1,27,,5.9,,-4.6,,0.7,,17.3,,0,,0,,0,,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,28/01/2025,2025,1,28,,5.7,,-4,,0.9,,17.1,,0,,0,,0,,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,29/01/2025,2025,1,29,,6.8,,-4.2,,1.3,,16.7,,0,,0,,0,,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,30/01/2025,2025,1,30,,4.3,,1.7,,3,,15,,0,,4.7,,0,,4.7,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,31/01/2025,2025,1,31,,,M,,M,,M,,M,,M,15.8,,0,,15.8,,,,28,,69,
-123.18,49.19,VANCOUVER INTL A,1108395,01/02/2025,2025,2,1,,5.7,,-1,,2.4,,15.6,,0,,0,T,0,,0,T,,,28,,53,
-123.18,49.19,VANCOUVER INTL A,1108395,02/02/2025,2025,2,2,,3.8,,-2.8,,0.5,,17.5,,0,,1.2,,5.8,,7,,4,E,17,,33,
-123.18,49.19,VANCOUVER INTL A,1108395,03/02/2025,2025,2,3,,-0.5,,-4,,-2.3,,20.3,,0,,0,,5.5,,5.3,,1,,10,,37,
-123.18,49.19,VANCOUVER INTL A,1108395,04/02/2025,2025,2,4,,-0.7,,-6.3,,-3.5,,21.5,,0,,0,,5,,5,,7,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,05/02/2025,2025,2,5,,-1.1,,-8.8,,-5,,23,,0,,0,,0,,0,,3,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,06/02/2025,2025,2,6,,0.6,,-5.2,,-2.3,,20.3,,0,,0,,0,,0,,,,,M,,M
