city,year,month,Avg_Max_Temp,Avg_Min_Temp,Total_Precip_mm,Total_Snow_cm,Avg_Mean_Temp
Calgary,2018,1,-0.070967741935484,-12.219799196787148,8.5,11.0,-5.871112838450577
Calgary,2018,2,-5.875,-17.243349110728627,37.8,43.3,-11.046589213998853
Calgary,2018,3,0.1387096774193548,-10.383870967741935,35.3,41.9,-5.141935483870968
Calgary,2018,4,7.38,-4.223333333333334,29.7,24.799999999999997,1.5866666666666667
Calgary,2018,5,21.125806451612902,6.873304832232154,32.5,0.0,13.73841948438917
Calgary,2018,6,21.613333333333333,8.059081659973225,67.7,0.0,14.546366800535475
Calgary,2018,7,24.932258064516127,10.625806451612902,34.800000000000004,0.0,17.799999999999997
Calgary,2018,8,24.11935483870968,9.990322580645161,49.7,0.0,17.080645161290324
Calgary,2018,9,11.853333333333333,2.683333333333333,37.2,1.7999999999999998,7.286666666666666
Calgary,2018,10,10.345161290322581,-2.045605648400052,48.2,48.39999999999999,4.125661355097811
Calgary,2018,11,5.446052596449072,-5.543792503346721,30.2,27.9,-0.050149933065595835
Calgary,2018,12,2.647792835273296,-7.839154035496826,13.2,15.0,-2.6033709029667054
Calgary,2019,1,3.045161290322581,-9.419354838709678,8.9,10.2,-3.1967741935483875
Calgary,2019,2,-13.382142857142856,-22.99642857142857,28.7,33.8,-18.210714285714285
Calgary,2019,3,3.7032258064516133,-8.73225806451613,7.2,8.2,-2.5161290322580645
Calgary,2019,4,11.482719263115738,-0.9804591700133869,18.2,16.9,5.279850066934404
Calgary,2019,5,14.661290322580646,3.4129032258064513,45.5,7.7,9.058064516129033
Calgary,2019,6,18.884210385796287,6.7414966532797855,134.2,0.0,12.836066934404283
Calgary,2019,7,21.957470254628134,10.160845964503173,83.5,0.0,16.086951677678456
Calgary,2019,8,22.161290322580644,10.248387096774193,59.5,0.0,16.225806451612904
Calgary,2019,9,16.11,6.333333333333333,67.7,34.4,11.246666666666666
Calgary,2019,10,8.634889609466844,-3.2294766161419877,14.1,15.8,2.7159839357429716
Calgary,2019,11,3.2766666666666664,-7.016666666666667,42.699999999999996,43.400000000000006,-1.8666666666666667
Calgary,2019,12,0.20322580645161278,-9.712903225806452,15.6,20.5,-4.761290322580645
Calgary,2020,1,-2.974787809887995,-13.242379841948438,3.0,3.9,-8.11949993522477
Calgary,2020,2,2.386206896551724,-8.96896551724138,19.9,21.5,-3.3034482758620687
Calgary,2020,3,1.6735992868861989,-9.442379841948439,26.400000000000002,28.8,-3.890467677160254
Calgary,2020,4,8.143333333333334,-2.8766666666666665,25.900000000000002,22.4,2.646666666666667
Calgary,2020,5,15.76774193548387,3.670967741935484,110.6,0.0,9.751612903225807
