geo,dguid,uom,uom_id,scalar_factor,scalar_id,vector,coordinate,mortgage_rate,decimals,year,month
Canada,2016A000011124,Percent,239,units,0,v733833,1,4.38,2,2018,11
Canada,2016A000011124,Percent,239,units,0,v733833,1,4.59,2,2018,12
Canada,2016A000011124,Percent,239,units,0,v733833,1,4.59,2,2019,1
Canada,2016A000011124,Percent,239,units,0,v733833,1,4.52,2,2019,2
Canada,2016A000011124,Percent,239,units,0,v733833,1,4.44,2,2019,3
Canada,2016A000011124,Percent,239,units,0,v733833,1,4.33,2,2019,4
Canada,2016A000011124,Percent,239,units,0,v733833,1,4.3,2,2019,5
Canada,2016A000011124,Percent,239,units,0,v733833,1,4.23,2,2019,6
Canada,2016A000011124,Percent,239,units,0,v733833,1,4.14,2,2019,7
Canada,2016A000011124,Percent,239,units,0,v733833,1,4.08,2,2019,8
Canada,2016A000011124,Percent,239,units,0,v733833,1,4.07,2,2019,9
Canada,2016A000011124,Percent,239,units,0,v733833,1,4.09,2,2019,10
Canada,2016A000011124,Percent,239,units,0,v733833,1,4.09,2,2019,11
Canada,2016A000011124,Percent,239,units,0,v733833,1,4.08,2,2019,12
Canada,2016A000011124,Percent,239,units,0,v733833,1,4.08,2,2020,1
Canada,2016A000011124,Percent,239,units,0,v733833,1,4.08,2,2020,2
Canada,2016A000011124,Percent,239,units,0,v733833,1,3.9,2,2020,3
Canada,2016A000011124,Percent,239,units,0,v733833,1,3.95,2,2020,4
Canada,2016A000011124,Percent,239,units,0,v733833,1,3.86,2,2020,5
Canada,2016A000011124,Percent,239,units,0,v733833,1,3.77,2,2020,6
Canada,2016A000011124,Percent,239,units,0,v733833,1,3.64,2,2020,7
Canada,2016A000011124,Percent,239,units,0,v733833,1,3.57,2,2020,8
Canada,2016A000011124,Percent,239,units,0,v733833,1,3.51,2,2020,9
Canada,2016A000011124,Percent,239,units,0,v733833,1,3.45,2,2020,10
Canada,2016A000011124,Percent,239,units,0,v733833,1,3.42,2,2020,11
Canada,2016A000011124,Percent,239,units,0,v733833,1,3.34,2,2020,12
Canada,2016A000011124,Percent,239,units,0,v733833,1,3.3,2,2021,1
Canada,2016A000011124,Percent,239,units,0,v733833,1,3.25,2,2021,2
Canada,2016A000011124,Percent,239,units,0,v733833,1,3.26,2,2021,3
Canada,2016A000011124,Percent,239,units,0,v733833,1,3.25,2,2021,4
Canada,2016A000011124,Percent,239,units,0,v733833,1,3.25,2,2021,5
Canada,2016A000011124,Percent,239,units,0,v733833,1,3.26,2,2021,6
Canada,2016A000011124,Percent,239,units,0,v733833,1,3.2,2,2021,7
Canada,2016A000011124,Percent,239,units,0,v733833,1,3.2,2,2021,8
Canada,2016A000011124,Percent,239,units,0,v733833,1,3.22,2,2021,9
Canada,2016A000011124,Percent,239,units,0,v733833,1,3.29,2,2021,10
Canada,2016A000011124,Percent,239,units,0,v733833,1,3.4,2,2021,11
Canada,2016A000011124,Percent,239,units,0,v733833,1,3.45,2,2021,12
Canada,2016A000011124,Percent,239,units,0,v733833,1,3.44,2,2022,1
Canada,2016A000011124,Percent,239,units,0,v733833,1,3.58,2,2022,2
Canada,2016A000011124,Percent,239,units,0,v733833,1,3.77,2,2022,3
Canada,2016A000011124,Percent,239,units,0,v733833,1,4.19,2,2022,4
Canada,2016A000011124,Percent,239,units,0,v733833,1,4.63,2,2022,5
Canada,2016A000011124,Percent,239,units,0,v733833,1,5.05,2,2022,6
