businessoperator,detailurl,streetnumber,street,totaloutstanding,totalunits,geom,geolocalarea,geo_point_2d,violation_rate,city
Central City Foundation,http://app.vancouver.ca/RPS_Net/Default.aspx?num=404&street=ABBOTT%20STREET,404,ABBOTT STREET,5,71.0,"{""coordinates"":[-123.10713559,49.2816849],""type"":""Point""}",Downtown,"49.2816849, -123.10713559",0.07042253421940092,Vancouver
Provincial Rental Housing Corporation,http://app.vancouver.ca/RPS_Net/Default.aspx?num=525&street=ABBOTT%20STREET,525,ABBOTT STREET,1,108.0,"{""coordinates"":[-123.1081018,49.28083259],""type"":""Point""}",Downtown,"49.28083259, -123.1081018",0.009259259173525379,Vancouver
0707892 BC Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=320&street=ABBOTT%20STREET,320,ABBOTT STREET,1,60.0,"{""coordinates"":[-123.10664756,49.28261413],""type"":""Point""}",Downtown,"49.28261413, -123.10664756",0.016666666388888893,Vancouver
Heritage House Holdings Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=455&street=ABBOTT%20STREET,455,ABBOTT STREET,1,109.0,"{""coordinates"":[-123.10777511,49.28139465],""type"":""Point""}",Downtown,"49.28139465, -123.10777511",0.009174311842437506,Vancouver
PHS Community Services Society,http://app.vancouver.ca/RPS_Net/Default.aspx?num=351&street=ABBOTT%20STREET,351,ABBOTT STREET,2,125.0,"{""coordinates"":[-123.10807734,49.28271565],""type"":""Point""}",Downtown,"49.28271565, -123.10807734",0.015999999872,Vancouver
0730235 BC Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1683&street=ADANAC%20STREET,1683,ADANAC STREET,7,21.0,"{""coordinates"":[-123.07088549,49.27782724],""type"":""Point""}",Grandview-Woodland,"49.27782724, -123.07088549",0.3333333174603182,Vancouver
Lily Jang,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1785&street=ADANAC%20STREET,1785,ADANAC STREET,1,5.0,"{""coordinates"":[-123.06878722,49.27780288],""type"":""Point""}",Grandview-Woodland,"49.27780288, -123.06878722",0.199999960000008,Vancouver
0763658 BC Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1050&street=ALBERNI%20STREET,1050,ALBERNI STREET,1,17.0,"{""coordinates"":[-123.12330459,49.28465803],""type"":""Point""}",West End,"49.28465803, -123.12330459",0.05882352595155729,Vancouver
Atira Women's Resource Society,http://app.vancouver.ca/RPS_Net/Default.aspx?num=334&street=ALEXANDER%20STREET,334,ALEXANDER STREET,2,21.0,"{""coordinates"":[-123.09673373,49.28377753],""type"":""Point""}",Strathcona,"49.28377753, -123.09673373",0.09523809070294806,Vancouver
1078022 BC Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=610&street=ALEXANDER%20STREET,610,ALEXANDER STREET,6,46.0,"{""coordinates"":[-123.0910891,49.28367106],""type"":""Point""}",Strathcona,"49.28367106, -123.0910891",0.13043477977315696,Vancouver
THE VETERANS MEMORIAL HOUSING SOCIETY,http://app.vancouver.ca/RPS_Net/Default.aspx?num=310&street=ALEXANDER%20STREET,310,ALEXANDER STREET,7,133.0,"{""coordinates"":[-123.0973628,49.28378914],""type"":""Point""}",Strathcona,"49.28378914, -123.0973628",0.052631578551642265,Vancouver
Atira Women's Resource Society,http://app.vancouver.ca/RPS_Net/Default.aspx?num=362&street=ALEXANDER%20STREET,362,ALEXANDER STREET,2,37.0,"{""coordinates"":[-123.09569679,49.28375815],""type"":""Point""}",Strathcona,"49.28375815, -123.09569679",0.054054052593133714,Vancouver
